English,Chinese,French,German,Italian,Spanish,Total Languages,Collection
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,Yes,No,No,No,2,"['English', 'French']"
Yes,No,No,No,No,No,2,"['English', 'Korean']"
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,Yes,2,"['English', 'Spanish']"
Yes,No,No,No,No,No,1,['English']
Yes,Yes,Yes,Yes,No,Yes,9,"['English', 'Chinese', 'French', 'German', 'Spanish', 'Portuguese - Brazil', 'Russian', 'Korean', 'Japanese']"
Yes,No,No,No,No,No,2,"['English', 'Polish']"
Yes,No,No,No,No,No,2,"['English', 'Polish']"
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,Yes,No,No,Yes,Yes,8,"['English', 'Chinese', 'Italian', 'Spanish', 'Portuguese - Brazil', 'Czech', 'Russian', 'Turkish']"
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,Yes,No,No,No,2,"['English', 'French']"
Yes,Yes,Yes,Yes,Yes,Yes,8,"['English', 'Chinese', 'French', 'German', 'Italian', 'Spanish', 'Russian', 'Polish']"
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,Yes,No,Yes,No,No,5,"['English', 'Chinese', 'German', 'Portuguese', 'Russian']"
Yes,Yes,No,Yes,No,No,4,"['English', 'Chinese', 'German', 'Russian']"
Yes,No,No,No,No,No,1,['English']
Yes,No,Yes,Yes,No,Yes,5,"['English', 'French', 'German', 'Spanish', 'Japanese']"
Yes,No,No,No,No,No,1,['English']
Yes,No,Yes,Yes,No,Yes,4,"['English', 'French', 'German', 'Spanish']"
Yes,No,Yes,Yes,Yes,No,4,"['English', 'French', 'German', 'Italian']"
Yes,No,No,No,No,No,1,['English']
Yes,No,Yes,No,No,No,2,"['English', 'French']"
Yes,Yes,No,No,No,Yes,5,"['English', 'Chinese', 'Spanish', 'Japanese', 'Korean']"
Yes,No,No,No,No,No,1,['English']
Yes,Yes,Yes,Yes,Yes,Yes,10,"['English', 'Chinese', 'French', 'German', 'Italian', 'Spanish', 'Russian', 'Portuguese', 'Turkish', 'Japanese']"
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,Yes,Yes,Yes,Yes,Yes,8,"['English', 'Chinese', 'French', 'German', 'Italian', 'Spanish', 'Portuguese - Brazil', 'Russian']"
Yes,Yes,No,No,No,No,3,"['English', 'Chinese', 'Korean']"
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
Yes,No,No,No,No,No,1,['English']
