genre1,genre2,genre3,genre4,genre5,genre6,genre7
Casual,Free to Play,Simulation,,,,
Casual,Free to Play,Indie,Massively Multiplayer,Sports,,
Casual,,,,,,
Action,Adventure,Casual,Indie,,,
Action,Indie,,,,,
Action,Casual,Free to Play,Indie,,,
Action,Adventure,Indie,Early Access,,,
Indie,Simulation,Sports,,,,
Adventure,,,,,,
Action,Adventure,Free to Play,Indie,,,
Adventure,Casual,Indie,RPG,,,
Adventure,Casual,,,,,
Adventure,Casual,,,,,
Free to Play,Massively Multiplayer,RPG,,,,
Free to Play,Massively Multiplayer,RPG,,,,
Adventure,Indie,RPG,,,,
Action,Adventure,Free to Play,Indie,Simulation,,
Action,Casual,Free to Play,Strategy,,,
Action,Indie,Simulation,Early Access,,,
Action,Indie,,,,,
Action,,,,,,
Adventure,Casual,,,,,
Action,Adventure,Casual,Free to Play,Indie,,
Action,Free to Play,Indie,,,,
Action,RPG,,,,,
Indie,Strategy,,,,,
Action,Adventure,Indie,Strategy,Early Access,,
Adventure,Casual,Free to Play,Indie,Massively Multiplayer,RPG,
Adventure,Casual,,,,,
Action,Indie,,,,,
Action,Adventure,Casual,RPG,Early Access,,
Action,,,,,,
Action,Indie,Massively Multiplayer,RPG,,,
Action,Indie,,,,,
Adventure,Casual,,,,,
Casual,Free to Play,Indie,Strategy,,,
Action,Adventure,Free to Play,Indie,Massively Multiplayer,RPG,
Action,Free to Play,Indie,Massively Multiplayer,Racing,RPG,Strategy
Action,Free to Play,Indie,,,,
Action,Casual,Indie,Simulation,,,
Free to Play,Simulation,,,,,
Utilities,,,,,,
Action,Indie,,,,,
Indie,,,,,,
Accounting,Education,Software Training,Utilities,Early Access,,
Free to Play,Indie,Simulation,Strategy,,,
Action,Adventure,Indie,RPG,,,
Adventure,Casual,Free to Play,,,,
Action,Adventure,Casual,Indie,Early Access,,
Indie,Strategy,,,,,
Simulation,Strategy,,,,,
Action,Indie,,,,,
Action,Adventure,Free to Play,RPG,,,
Action,Adventure,Indie,Strategy,,,
Free to Play,Massively Multiplayer,RPG,Strategy,,,
Adventure,Indie,RPG,Strategy,,,
Adventure,Indie,RPG,Strategy,,,
Simulation,,,,,,
Adventure,Casual,Free to Play,Massively Multiplayer,RPG,Sports,Strategy
Utilities,,,,,,
,,,,,,
Action,Adventure,Free to Play,Massively Multiplayer,RPG,,
Free to Play,Simulation,,,,,
Action,Free to Play,Indie,Racing,,,
Racing,Sports,,,,,
Free to Play,Indie,RPG,,,,
Action,Adventure,Casual,Free to Play,Indie,Simulation,Strategy
Casual,Indie,Simulation,Strategy,,,
Action,Indie,Massively Multiplayer,,,,
Action,Free to Play,Indie,Massively Multiplayer,RPG,,
Action,,,,,,
Action,Adventure,Indie,,,,
Action,Free to Play,Massively Multiplayer,,,,
Action,Indie,,,,,
Action,,,,,,
Action,Indie,,,,,
Action,Adventure,Indie,Strategy,,,
Action,Adventure,Casual,Indie,Simulation,Early Access,
Casual,Strategy,,,,,
Action,Adventure,Strategy,Early Access,,,
Action,Adventure,Free to Play,Indie,Early Access,,
Action,Casual,Free to Play,Indie,,,
Action,Adventure,Indie,,,,
Action,Adventure,Indie,,,,
Action,Adventure,,,,,
Action,Adventure,RPG,Simulation,Sports,Strategy,
Action,Adventure,Indie,Strategy,,,
Action,Adventure,Indie,Racing,,,
Action,Adventure,,,,,
Action,Indie,,,,,
Action,Indie,RPG,Early Access,,,
Adventure,Indie,,,,,
Casual,Indie,,,,,
Adventure,Casual,Indie,Simulation,Strategy,,
Casual,Free to Play,Early Access,,,,
Action,,,,,,
Action,Adventure,Massively Multiplayer,Early Access,,,
Action,Casual,Indie,,,,
Indie,RPG,,,,,
Action,Indie,,,,,
Indie,Strategy,Early Access,,,,
Indie,,,,,,
Action,Free to Play,Indie,Massively Multiplayer,Early Access,,
Indie,Sports,,,,,
Casual,Indie,,,,,
Indie,,,,,,
Action,Adventure,Free to Play,Indie,,,
Action,Free to Play,Indie,,,,
Casual,Free to Play,Indie,Strategy,,,
Adventure,Strategy,,,,,
Action,Free to Play,Indie,,,,
Adventure,Indie,,,,,
,,,,,,
Casual,Indie,,,,,
Casual,Free to Play,Strategy,,,,
Action,Free to Play,Indie,Early Access,,,
Action,Adventure,Free to Play,Indie,,,
,,,,,,
Adventure,Casual,Free to Play,Indie,Massively Multiplayer,RPG,Early Access
Action,Simulation,Sports,,,,
Indie,Strategy,,,,,
Action,Indie,,,,,
Indie,,,,,,
Action,Casual,Indie,Strategy,,,
Strategy,,,,,,
Action,Adventure,Indie,,,,
Action,Adventure,Casual,Free to Play,Indie,RPG,
Strategy,,,,,,
Casual,Strategy,Early Access,,,,
Action,Free to Play,Massively Multiplayer,RPG,,,
Adventure,Free to Play,Massively Multiplayer,,,,
,,,,,,
Free to Play,Game Development,,,,,
Action,,,,,,
Action,Casual,Indie,,,,
Action,Free to Play,Indie,Early Access,,,
Adventure,,,,,,
Adventure,Casual,Indie,,,,
Indie,,,,,,
Indie,,,,,,
Adventure,Indie,,,,,
Casual,Free to Play,Indie,Racing,Early Access,,
Adventure,Indie,Simulation,,,,
Adventure,Indie,,,,,
Action,Indie,Strategy,Early Access,,,
Casual,Indie,,,,,
Action,,,,,,
Action,Indie,,,,,
Indie,Early Access,,,,,
Free to Play,Indie,Strategy,,,,
,,,,,,
Action,Indie,,,,,
Action,Adventure,Indie,,,,
Adventure,Casual,Indie,RPG,,,
Action,Adventure,Free to Play,Indie,Massively Multiplayer,,
Utilities,Video Production,,,,,
Casual,Indie,Strategy,,,,
Free to Play,Indie,RPG,Simulation,,,
Casual,Free to Play,Early Access,,,,
Indie,RPG,Strategy,,,,
Action,Adventure,Indie,,,,
Action,Adventure,Indie,Early Access,,,
Free to Play,Indie,,,,,
Action,Casual,Free to Play,Indie,,,
Action,Adventure,Indie,Strategy,Early Access,,
Adventure,RPG,,,,,
Casual,Free to Play,Simulation,,,,
Casual,Simulation,,,,,
Action,Indie,,,,,
Free to Play,,,,,,
Indie,,,,,,
Utilities,Early Access,,,,,
Utilities,,,,,,
Action,Adventure,Indie,,,,
Free to Play,Indie,,,,,
Adventure,Indie,Simulation,Strategy,,,
Adventure,Casual,Indie,,,,
Action,Free to Play,Indie,RPG,,,
Casual,Free to Play,Simulation,,,,
Action,Free to Play,Indie,,,,
Action,Adventure,Free to Play,,,,
Action,Adventure,Free to Play,Massively Multiplayer,RPG,Strategy,
Action,Indie,,,,,
Adventure,Casual,Free to Play,Indie,,,
Action,Indie,,,,,
Action,Adventure,Indie,,,,
Adventure,Free to Play,Indie,,,,
Action,RPG,,,,,
Action,RPG,,,,,
Action,Free to Play,Indie,Massively Multiplayer,RPG,,
Adventure,Free to Play,Indie,,,,
Action,Indie,Simulation,Strategy,Early Access,,
Casual,,,,,,
Action,Adventure,Free to Play,Indie,,,
Action,Free to Play,Indie,RPG,Simulation,,
,,,,,,
Free to Play,Indie,Massively Multiplayer,RPG,Strategy,,
Adventure,Indie,,,,,
Casual,Massively Multiplayer,Simulation,Strategy,,,
Action,Free to Play,Indie,,,,
Action,Adventure,Casual,Free to Play,Indie,Massively Multiplayer,Early Access
Action,Adventure,Indie,,,,
Adventure,,,,,,
Action,Free to Play,Indie,Simulation,,,
Action,Casual,Indie,Strategy,,,
Action,Casual,Indie,,,,
Indie,Strategy,,,,,
Adventure,Indie,,,,,
Utilities,,,,,,
Action,Adventure,Casual,Free to Play,Massively Multiplayer,RPG,
Action,Indie,Strategy,,,,
Casual,Indie,,,,,
Indie,Strategy,Early Access,,,,
Indie,,,,,,
Free to Play,Indie,Strategy,,,,
Free to Play,Indie,,,,,
Adventure,Free to Play,Strategy,Early Access,,,
Action,Free to Play,Indie,Early Access,,,
Casual,Indie,Strategy,,,,
Action,Indie,,,,,
Casual,Free to Play,Indie,Simulation,Strategy,,
Adventure,Free to Play,RPG,,,,
Action,Adventure,Free to Play,RPG,Early Access,,
Adventure,Free to Play,Simulation,,,,
Action,Adventure,Free to Play,Indie,Simulation,,
Action,Adventure,,,,,
Simulation,Early Access,,,,,
Action,Adventure,Free to Play,Indie,RPG,,
Action,Adventure,Free to Play,,,,
Casual,Indie,Simulation,,,,
Casual,Indie,Simulation,,,,
Adventure,Casual,Indie,Simulation,,,
Indie,Racing,Sports,,,,
Action,Free to Play,,,,,
Action,Casual,Free to Play,Racing,Simulation,Sports,
Casual,Free to Play,Indie,,,,
RPG,Strategy,,,,,
Free to Play,Massively Multiplayer,Sports,,,,
Casual,Free to Play,Indie,Simulation,,,
Adventure,Casual,Indie,,,,
Action,Adventure,Indie,,,,
Utilities,,,,,,
Indie,RPG,,,,,
Action,Free to Play,,,,,
Action,Adventure,Free to Play,Massively Multiplayer,RPG,Strategy,Early Access
Indie,,,,,,
Casual,Indie,,,,,
Adventure,Casual,Free to Play,Indie,Simulation,,
Adventure,RPG,,,,,
Action,Free to Play,Indie,,,,
Action,Adventure,Indie,,,,
Casual,Massively Multiplayer,Early Access,,,,
Action,Free to Play,Indie,Strategy,,,
Action,RPG,Early Access,,,,
,,,,,,
Action,Adventure,Indie,RPG,,,
Action,Adventure,Free to Play,Indie,Massively Multiplayer,RPG,Strategy
Audio Production,Utilities,,,,,
Action,Free to Play,Massively Multiplayer,RPG,,,
Action,Adventure,RPG,Simulation,,,
Action,Adventure,Indie,Simulation,,,
Adventure,Indie,RPG,,,,
Action,Adventure,,,,,
Casual,Indie,,,,,
Casual,Free to Play,Indie,Early Access,,,
Indie,Sports,Early Access,,,,
Adventure,Massively Multiplayer,RPG,Strategy,,,
Action,Indie,,,,,
Action,Indie,Massively Multiplayer,Simulation,Strategy,Early Access,
Free to Play,Strategy,,,,,
Action,Adventure,Casual,Indie,,,
Casual,Free to Play,Indie,,,,
,,,,,,
Casual,Free to Play,Indie,,,,
Free to Play,Strategy,,,,,
Action,Indie,,,,,
Simulation,Sports,,,,,
Adventure,Casual,Free to Play,Indie,Early Access,,
Adventure,Free to Play,,,,,
Action,Casual,Indie,Strategy,Early Access,,
Adventure,Casual,Indie,RPG,Simulation,,
Indie,,,,,,
Adventure,Indie,,,,,
Indie,,,,,,
Casual,Indie,Simulation,,,,
Action,Indie,Massively Multiplayer,Early Access,,,
Action,Casual,Indie,,,,
Casual,Free to Play,Indie,Simulation,,,
Casual,Free to Play,Indie,Early Access,,,
Casual,Indie,,,,,
Casual,Free to Play,Massively Multiplayer,Strategy,Early Access,,
Indie,,,,,,
Action,Adventure,Free to Play,Indie,,,
Casual,Indie,,,,,
Free to Play,Indie,Simulation,,,,
Casual,Free to Play,Indie,,,,
Action,Free to Play,Strategy,,,,
Casual,Free to Play,Strategy,,,,
Casual,Indie,RPG,,,,
Action,Casual,Indie,,,,
Animation & Modeling,Design & Illustration,Education,,,,
,,,,,,
Action,Free to Play,Indie,,,,
Casual,Strategy,,,,,
Action,Indie,,,,,
Adventure,Indie,,,,,
Action,Indie,Massively Multiplayer,RPG,Simulation,Early Access,
Action,Free to Play,Indie,Racing,Simulation,,
Casual,Free to Play,Indie,Massively Multiplayer,RPG,Strategy,
Free to Play,Indie,Simulation,,,,
Free to Play,Indie,,,,,
Casual,Indie,RPG,,,,
Action,Free to Play,Indie,,,,
Action,Indie,Design & Illustration,,,,
Free to Play,Massively Multiplayer,RPG,Strategy,,,
Action,Adventure,Free to Play,Massively Multiplayer,RPG,,
RPG,Early Access,,,,,
Action,Free to Play,,,,,
Action,Adventure,Free to Play,Massively Multiplayer,RPG,,
Free to Play,Massively Multiplayer,Strategy,,,,
Action,Free to Play,Massively Multiplayer,RPG,,,
RPG,,,,,,
Action,Simulation,Early Access,,,,
Action,Adventure,Casual,Free to Play,Massively Multiplayer,Racing,RPG
Action,Adventure,Free to Play,Indie,RPG,Strategy,Early Access
Adventure,Indie,RPG,Strategy,,,
Free to Play,RPG,,,,,
Action,Indie,Simulation,,,,
Action,Adventure,Free to Play,Indie,RPG,,
Action,Free to Play,Massively Multiplayer,RPG,,,
Action,Free to Play,Indie,,,,
Casual,Indie,RPG,,,,
Action,Free to Play,Indie,Massively Multiplayer,,,
Free to Play,Indie,Strategy,,,,
Casual,Indie,Simulation,Strategy,Early Access,,
Action,Adventure,Free to Play,Indie,Simulation,,
Action,Casual,Indie,,,,
Action,Free to Play,Massively Multiplayer,,,,
Utilities,,,,,,
Adventure,Casual,Free to Play,,,,
Adventure,Casual,Free to Play,Indie,RPG,Early Access,
Casual,Free to Play,Indie,Sports,,,
Casual,Indie,,,,,
Adventure,Free to Play,Massively Multiplayer,RPG,,,
Action,Adventure,Free to Play,Indie,,,
RPG,,,,,,
Indie,Simulation,Early Access,,,,
Casual,Free to Play,Simulation,,,,
Adventure,Casual,Free to Play,Indie,RPG,Strategy,
Action,Free to Play,Indie,RPG,,,
Casual,Free to Play,Racing,,,,
Casual,Indie,,,,,
Action,Adventure,Free to Play,Indie,,,
Indie,RPG,Early Access,,,,
Action,Casual,Free to Play,Indie,,,
Adventure,Indie,RPG,,,,
Free to Play,Indie,Racing,Sports,,,
Action,Casual,Free to Play,Indie,,,
Racing,Simulation,,,,,
Casual,Indie,Racing,Simulation,Sports,Early Access,
Casual,Free to Play,Indie,Simulation,,,
Free to Play,Indie,,,,,
Action,Free to Play,Indie,Simulation,Sports,,
Free to Play,Indie,,,,,
Casual,Indie,Racing,Simulation,,,
Action,Indie,,,,,
Utilities,,,,,,
Utilities,,,,,,
Utilities,,,,,,
Utilities,,,,,,
Free to Play,Indie,Education,Software Training,Utilities,Web Publishing,Game Development
Education,Software Training,,,,,
Action,Free to Play,Indie,,,,
Action,Casual,Free to Play,Indie,Sports,,
Utilities,Early Access,,,,,
Casual,Free to Play,Indie,,,,
Action,Casual,Free to Play,Indie,Early Access,,
Action,Casual,Massively Multiplayer,Early Access,,,
Action,Free to Play,Strategy,Early Access,,,
Adventure,Free to Play,Indie,,,,
Action,Casual,Free to Play,Indie,Simulation,,
Casual,Free to Play,Indie,Simulation,Strategy,,
Audio Production,Utilities,,,,,
Simulation,Early Access,,,,,
RPG,,,,,,
Action,Casual,Free to Play,Indie,Simulation,Sports,
Action,Casual,Free to Play,Indie,Simulation,Sports,Early Access
Action,Indie,Early Access,,,,
Education,,,,,,
Adventure,Casual,Indie,,,,
Casual,Indie,Early Access,,,,
Adventure,Casual,Indie,,,,
Action,Free to Play,Early Access,,,,
Strategy,,,,,,
Free to Play,Indie,Strategy,,,,
Action,Indie,,,,,
Casual,Indie,Strategy,,,,
Indie,Simulation,Strategy,,,,
Indie,,,,,,
Casual,Indie,,,,,
Action,Adventure,Casual,Free to Play,Indie,RPG,
Indie,RPG,Strategy,,,,
Action,Indie,RPG,Strategy,,,
Action,Free to Play,Indie,RPG,Strategy,,
Action,Adventure,Free to Play,Massively Multiplayer,RPG,,
Action,Adventure,Free to Play,RPG,,,
Action,Free to Play,RPG,,,,
Free to Play,Indie,Strategy,Early Access,,,
RPG,,,,,,
Sports,Strategy,,,,,
Free to Play,Massively Multiplayer,,,,,
Action,Adventure,Free to Play,Massively Multiplayer,RPG,,
Adventure,Indie,,,,,
Action,Free to Play,Indie,,,,
Adventure,Free to Play,RPG,,,,
Strategy,Early Access,,,,,
Casual,Free to Play,Indie,Strategy,,,
Indie,RPG,Simulation,Strategy,Early Access,,
Action,RPG,Early Access,,,,
Action,Indie,,,,,
Action,Indie,,,,,
Indie,,,,,,
Adventure,Indie,Simulation,Strategy,,,
Action,Indie,,,,,
Indie,Early Access,,,,,
Casual,Free to Play,,,,,
Action,Free to Play,Indie,,,,
Casual,Free to Play,Indie,Simulation,Strategy,,
Utilities,Game Development,,,,,
Utilities,,,,,,
Casual,Indie,,,,,
Casual,Indie,,,,,
Action,Adventure,Indie,Early Access,,,
Massively Multiplayer,RPG,Early Access,,,,
Action,Adventure,Free to Play,Indie,,,
Adventure,Free to Play,Indie,,,,
Adventure,,,,,,
Action,Free to Play,Indie,,,,
Free to Play,Indie,,,,,
Adventure,Free to Play,,,,,
Indie,Strategy,,,,,
Casual,Indie,Simulation,Strategy,,,
Casual,Free to Play,,,,,
Action,Adventure,Indie,Strategy,,,
Massively Multiplayer,RPG,Early Access,,,,
Action,Casual,Strategy,Early Access,,,
Free to Play,Indie,,,,,
Education,,,,,,
Audio Production,Video Production,,,,,
Simulation,,,,,,
Action,Casual,Indie,,,,
Utilities,,,,,,
Animation & Modeling,Design & Illustration,Utilities,,,,
Sports,,,,,,
Sports,,,,,,
Indie,,,,,,
Casual,Free to Play,Indie,Simulation,Early Access,,
Action,Casual,Free to Play,Indie,Sports,,
Action,Casual,Indie,Early Access,,,
Casual,Free to Play,Indie,Simulation,,,
Free to Play,Indie,,,,,
Action,Free to Play,Indie,,,,
Casual,Free to Play,Indie,RPG,,,
Action,Casual,Free to Play,Indie,Strategy,,
Adventure,Casual,Indie,,,,
Action,Adventure,,,,,
Adventure,Free to Play,Indie,RPG,,,
Action,Adventure,Casual,Free to Play,Indie,Sports,Early Access
Adventure,,,,,,
Adventure,,,,,,
Indie,,,,,,
Casual,Free to Play,Indie,Massively Multiplayer,RPG,,
Adventure,Indie,,,,,
Action,Casual,Free to Play,Indie,Racing,Simulation,Sports
Audio Production,Utilities,,,,,
Indie,,,,,,
Indie,Simulation,,,,,
Casual,Indie,,,,,
Adventure,Indie,,,,,
Action,Free to Play,Indie,Massively Multiplayer,Simulation,,
Indie,Simulation,Early Access,,,,
Action,Adventure,Casual,Indie,,,
Free to Play,Indie,Massively Multiplayer,RPG,Strategy,,
Action,Casual,Indie,Massively Multiplayer,RPG,Early Access,
Indie,RPG,Early Access,,,,
Indie,RPG,,,,,
Simulation,,,,,,
Casual,Indie,,,,,
Adventure,Casual,Free to Play,Indie,,,
Adventure,Indie,RPG,,,,
Action,Adventure,Casual,Free to Play,Indie,RPG,Strategy
Adventure,Free to Play,Indie,,,,
Action,Adventure,Indie,Strategy,,,
Free to Play,Indie,Racing,RPG,Simulation,Sports,Strategy
English,,,,,,
Adventure,Free to Play,,,,,
Action,Adventure,Casual,Free to Play,Massively Multiplayer,RPG,
,,,,,,
Action,Free to Play,Indie,Early Access,,,
Indie,,,,,,
Action,Adventure,Casual,Free to Play,Indie,,
Casual,Free to Play,Massively Multiplayer,Early Access,,,
Casual,Free to Play,Indie,,,,
Adventure,Casual,Free to Play,Indie,Simulation,,
Simulation,Strategy,,,,,
Strategy,,,,,,
Simulation,Strategy,,,,,
Simulation,,,,,,
Action,Indie,,,,,
Casual,Free to Play,,,,,
Adventure,Casual,Free to Play,Indie,Simulation,,
Action,Adventure,Indie,RPG,,,
Video Production,,,,,,
Adventure,Free to Play,Indie,RPG,Early Access,,
Free to Play,Strategy,,,,,
Action,Free to Play,Strategy,,,,
Free to Play,Strategy,,,,,
Free to Play,Indie,Massively Multiplayer,RPG,Strategy,,
Action,Indie,,,,,
Casual,Free to Play,Indie,RPG,Simulation,,
Adventure,Free to Play,Indie,,,,
Action,Indie,Early Access,,,,
RPG,,,,,,
Action,Casual,Free to Play,Indie,Massively Multiplayer,,
Action,Adventure,Casual,Indie,RPG,,
Action,Casual,Free to Play,Massively Multiplayer,,,
Action,Casual,Indie,Early Access,,,
Action,Adventure,Indie,Early Access,,,
Action,Adventure,Free to Play,RPG,Simulation,,
Casual,Free to Play,Indie,Massively Multiplayer,Racing,RPG,Strategy
Adventure,Indie,RPG,Strategy,,,
Action,Casual,Free to Play,Indie,Early Access,,
Education,Software Training,Utilities,,,,
Casual,Free to Play,Indie,Massively Multiplayer,Racing,Simulation,Sports
Education,Software Training,Early Access,,,,
Casual,Indie,Simulation,,,,
,,,,,,
Action,Adventure,Indie,RPG,,,
,,,,,,
Indie,Sports,,,,,
Action,Free to Play,Indie,,,,
Action,Casual,Free to Play,Indie,,,
Casual,Free to Play,Strategy,Early Access,,,
Free to Play,Indie,Strategy,,,,
Adventure,Free to Play,Indie,RPG,,,
Casual,Free to Play,Indie,Strategy,,,
Action,Casual,Free to Play,Indie,Strategy,,
Strategy,,,,,,
Adventure,Casual,Free to Play,Strategy,,,
Casual,Free to Play,Strategy,,,,
Animation & Modeling,Design & Illustration,Photo Editing,Utilities,Web Publishing,Game Development,
Adventure,Casual,Free to Play,Indie,,,
Action,Indie,RPG,Early Access,,,
Action,Casual,Indie,,,,
Casual,Free to Play,Indie,Simulation,,,
RPG,,,,,,
Casual,Free to Play,Indie,Racing,Simulation,,
Action,Early Access,,,,,
Free to Play,Indie,Strategy,,,,
Action,Indie,Sports,,,,
Action,Indie,Strategy,Early Access,,,
Adventure,Indie,RPG,,,,
Action,RPG,Early Access,,,,
Adventure,Free to Play,RPG,,,,
Adventure,Casual,Free to Play,Indie,,,
Free to Play,Strategy,,,,,
Indie,,,,,,
Free to Play,Indie,Strategy,,,,
Action,Adventure,Indie,,,,
Casual,Indie,,,,,
Adventure,Indie,RPG,Early Access,,,
Action,Indie,Massively Multiplayer,,,,
Adventure,Indie,,,,,
Casual,Free to Play,Indie,,,,
Indie,,,,,,
Action,Indie,,,,,
Adventure,Free to Play,Indie,,,,
Action,Adventure,Casual,Free to Play,Indie,,
Free to Play,Indie,,,,,
Adventure,Casual,Free to Play,,,,
Adventure,Free to Play,Indie,,,,
Free to Play,Indie,,,,,
Adventure,Free to Play,Indie,,,,
Indie,Strategy,,,,,
Adventure,Casual,Indie,,,,
Casual,Free to Play,Indie,Simulation,Strategy,,
Adventure,Casual,Free to Play,Indie,,,
Action,Indie,,,,,
Utilities,,,,,,
Animation & Modeling,Design & Illustration,Education,Software Training,Utilities,Game Development,
Simulation,,,,,,
Free to Play,Indie,Simulation,Sports,,,
Indie,RPG,Simulation,Sports,Strategy,Early Access,
Action,Casual,Free to Play,Indie,,,
Indie,,,,,,
Casual,Free to Play,Indie,Strategy,,,
Casual,Free to Play,Massively Multiplayer,Strategy,,,
Casual,Free to Play,Indie,Massively Multiplayer,Strategy,Early Access,
Adventure,Free to Play,Indie,,,,
Adventure,Casual,Free to Play,Indie,,,
Action,Free to Play,Massively Multiplayer,RPG,,,
RPG,,,,,,
Free to Play,Indie,Strategy,Early Access,,,
Action,Free to Play,Indie,RPG,,,
Adventure,Casual,Free to Play,Massively Multiplayer,RPG,,
Free to Play,Indie,Racing,Simulation,,,
Indie,,,,,,
RPG,,,,,,
Free to Play,Indie,,,,,
Education,,,,,,
Adventure,Casual,Free to Play,Indie,Strategy,,
Action,Adventure,Free to Play,Indie,,,
Casual,Indie,,,,,
Casual,Free to Play,Massively Multiplayer,,,,
Adventure,Casual,Free to Play,Indie,,,
Free to Play,Massively Multiplayer,RPG,,,,
Free to Play,Massively Multiplayer,RPG,,,,
Action,Adventure,Indie,,,,
Indie,,,,,,
Free to Play,Indie,Simulation,Strategy,,,
Action,Free to Play,Indie,,,,
Utilities,,,,,,
Action,Adventure,Indie,,,,
Free to Play,Indie,Simulation,,,,
Action,Adventure,Free to Play,Indie,Massively Multiplayer,RPG,Simulation
Casual,Free to Play,Simulation,Strategy,,,
Action,Casual,Indie,Strategy,,,
Action,Free to Play,,,,,
Casual,Free to Play,Simulation,,,,
Indie,Simulation,,,,,
Action,Adventure,Free to Play,,,,
Adventure,Indie,RPG,,,,
Indie,,,,,,
Indie,Strategy,Early Access,,,,
Adventure,Casual,Indie,Simulation,,,
Casual,Free to Play,Indie,Massively Multiplayer,RPG,Simulation,Strategy
Strategy,,,,,,
Casual,Free to Play,Indie,,,,
Adventure,Casual,Free to Play,Indie,RPG,Simulation,
Action,Adventure,Casual,Free to Play,Indie,,
Action,Free to Play,Massively Multiplayer,,,,
Action,Casual,Indie,,,,
Adventure,Casual,Free to Play,,,,
Indie,,,,,,
Simulation,,,,,,
Adventure,Casual,Free to Play,Indie,Simulation,,
Early Access,,,,,,
Action,Indie,,,,,
Free to Play,Indie,,,,,
Casual,Free to Play,Indie,,,,
Action,Adventure,Indie,,,,
Action,Indie,,,,,
Adventure,Indie,RPG,Strategy,,,
Action,Racing,Simulation,Sports,,,
Adventure,Casual,Indie,,,,
Simulation,,,,,,
Action,Adventure,Free to Play,Indie,,,
Adventure,Indie,RPG,,,,
Action,Adventure,Casual,Free to Play,Indie,Strategy,
Action,Adventure,Casual,Indie,,,
Racing,Simulation,Sports,,,,
Racing,Sports,,,,,
Racing,Sports,,,,,
Racing,Simulation,Sports,,,,
Racing,Simulation,Sports,,,,
Racing,Simulation,Sports,,,,
Free to Play,Strategy,,,,,
Casual,,,,,,
Action,Indie,,,,,
Indie,,,,,,
Animation & Modeling,Video Production,,,,,
Animation & Modeling,Video Production,,,,,
Action,Adventure,Casual,Indie,Racing,Simulation,Early Access
Action,Adventure,Casual,Indie,Strategy,Early Access,
Action,Free to Play,Indie,Early Access,,,
Action,Indie,,,,,
Adventure,Casual,Free to Play,Indie,,,
Casual,Indie,Strategy,Early Access,,,
,,,,,,
Action,Casual,Free to Play,Simulation,,,
Action,Adventure,Indie,,,,
Game Development,,,,,,
Adventure,Simulation,Strategy,Early Access,,,
Adventure,Casual,Indie,,,,
Free to Play,Massively Multiplayer,RPG,,,,
Adventure,Indie,RPG,,,,
Free to Play,RPG,Simulation,,,,
Adventure,Casual,Free to Play,Indie,,,
Action,Free to Play,Indie,Early Access,,,
Casual,Free to Play,Indie,RPG,Strategy,,
Adventure,Free to Play,,,,,
Action,Adventure,RPG,,,,
Education,,,,,,
Free to Play,Indie,Simulation,Strategy,,,
Indie,Strategy,,,,,
Free to Play,Strategy,,,,,
Free to Play,Indie,RPG,Simulation,,,
Action,Casual,Free to Play,Indie,RPG,Sports,
Free to Play,Strategy,Early Access,,,,
Action,Casual,Free to Play,Indie,,,
Free to Play,Indie,Massively Multiplayer,RPG,Early Access,,
Indie,RPG,,,,,
Indie,Audio Production,,,,,
Casual,Free to Play,Indie,,,,
Casual,Free to Play,Indie,RPG,,,
Adventure,Casual,Free to Play,Indie,Simulation,,
Free to Play,,,,,,
Adventure,Casual,RPG,,,,
Adventure,Indie,RPG,Early Access,,,
RPG,,,,,,
Action,Indie,,,,,
Racing,Simulation,,,,,
Simulation,,,,,,
Casual,Free to Play,Indie,Simulation,,,
Action,Adventure,Casual,Indie,,,
Simulation,,,,,,
Action,Adventure,Casual,Indie,Strategy,Early Access,
Casual,Indie,Early Access,,,,
Casual,Free to Play,,,,,
Racing,,,,,,
Action,Adventure,Casual,Indie,RPG,,
Action,Casual,Indie,RPG,,,
Action,Indie,Early Access,,,,
Free to Play,Massively Multiplayer,Simulation,Strategy,Early Access,,
Action,,,,,,
Action,Casual,Indie,Racing,Sports,Strategy,
Adventure,Free to Play,Indie,,,,
Strategy,,,,,,
Adventure,Casual,Free to Play,Indie,,,
Adventure,Free to Play,,,,,
Action,Casual,Free to Play,Indie,,,
Adventure,Casual,Free to Play,Indie,,,
Free to Play,Indie,Simulation,,,,
Indie,,,,,,
Video Production,,,,,,
Free to Play,Indie,,,,,
Casual,Free to Play,Indie,Early Access,,,
Education,,,,,,
Casual,Indie,,,,,
Free to Play,Indie,Strategy,Early Access,,,
RPG,,,,,,
Action,Sports,,,,,
Adventure,Casual,Free to Play,Indie,RPG,,
Free to Play,Massively Multiplayer,RPG,,,,
Adventure,Casual,Indie,,,,
Action,Indie,,,,,
Action,Free to Play,Indie,RPG,,,
Action,Free to Play,Indie,Early Access,,,
Action,Free to Play,Massively Multiplayer,Simulation,,,
Free to Play,Indie,RPG,,,,
Action,Strategy,,,,,
Action,Free to Play,Indie,Early Access,,,
Action,Adventure,Free to Play,Indie,RPG,,
Racing,Simulation,Sports,,,,
Action,Indie,,,,,
Action,Casual,Indie,,,,
RPG,,,,,,
RPG,,,,,,
Free to Play,,,,,,
Casual,Indie,,,,,
Indie,RPG,,,,,
Massively Multiplayer,Racing,Strategy,,,,
Free to Play,Indie,Massively Multiplayer,RPG,Strategy,,
Adventure,Free to Play,Indie,Simulation,,,
