genre1,genre2,genre3,genre4,genre5,genre6,genre7
Adventure,Casual,Indie,Simulation,Early Access,,
Adventure,Free to Play,Indie,Massively Multiplayer,RPG,,
Free to Play,Indie,Strategy,,,,
Free to Play,Massively Multiplayer,Strategy,,,,
Casual,Indie,Sports,,,,
Adventure,Casual,Free to Play,Indie,Simulation,,
Adventure,Indie,Simulation,,,,
Adventure,,,,,,
Adventure,Indie,RPG,Early Access,,,
Education,,,,,,
Action,,,,,,
Action,,,,,,
Action,Free to Play,Indie,Early Access,,,
Action,,,,,,
Adventure,Casual,Free to Play,Indie,,,
Software Training,Utilities,,,,,
Casual,Strategy,,,,,
Free to Play,Massively Multiplayer,Strategy,,,,
Action,Adventure,Free to Play,Massively Multiplayer,RPG,,
Free to Play,Indie,Strategy,,,,
Adventure,Free to Play,Indie,RPG,Strategy,,
Free to Play,Massively Multiplayer,RPG,,,,
Action,Casual,Free to Play,,,,
Action,Adventure,Indie,Racing,,,
Action,Casual,Free to Play,,,,
Adventure,Casual,Indie,Simulation,,,
Action,Adventure,Casual,Free to Play,Indie,,
Adventure,Casual,Indie,Massively Multiplayer,RPG,Strategy,
Action,Early Access,,,,,
Casual,Free to Play,,,,,
Casual,Strategy,,,,,
Casual,Indie,,,,,
Casual,Free to Play,Indie,Racing,RPG,Simulation,Sports
Action,Adventure,Casual,Free to Play,Indie,,
Indie,RPG,,,,,
Action,Adventure,Casual,Free to Play,Indie,Simulation,Early Access
Action,Adventure,Casual,Free to Play,Indie,Simulation,Early Access
Indie,Massively Multiplayer,Strategy,,,,
Free to Play,Indie,RPG,,,,
Action,Free to Play,Indie,Early Access,,,
Action,Casual,Free to Play,Indie,,,
Action,Indie,,,,,
Education,,,,,,
Casual,Indie,Simulation,,,,
Action,Simulation,Early Access,,,,
Adventure,Indie,Strategy,,,,
Casual,Free to Play,Indie,,,,
Adventure,Indie,RPG,,,,
Action,Free to Play,Indie,Strategy,,,
Indie,Simulation,,,,,
Action,Free to Play,Indie,RPG,,,
Adventure,Free to Play,Indie,RPG,,,
Animation & Modeling,Design & Illustration,Education,Software Training,Video Production,Web Publishing,
Animation & Modeling,Design & Illustration,Education,Software Training,Video Production,Game Development,
Animation & Modeling,Design & Illustration,Education,Software Training,Video Production,Game Development,
Indie,Strategy,,,,,
Free to Play,Massively Multiplayer,RPG,,,,
Adventure,Indie,RPG,Strategy,,,
Adventure,Casual,Free to Play,Indie,,,
Action,Adventure,Casual,Free to Play,Indie,Simulation,
Action,Adventure,Free to Play,Indie,RPG,,
Casual,Free to Play,Indie,RPG,,,
Casual,Indie,,,,,
Casual,Indie,,,,,
Action,Indie,RPG,Strategy,,,
Action,Free to Play,Indie,Strategy,,,
Action,Indie,,,,,
Action,Free to Play,Indie,,,,
Action,Indie,,,,,
Indie,RPG,Simulation,,,,
Action,,,,,,
Action,Free to Play,,,,,
Casual,Indie,Simulation,,,,
Action,Casual,Free to Play,Indie,,,
Action,Indie,Early Access,,,,
Casual,Free to Play,Strategy,,,,
Action,Adventure,Massively Multiplayer,RPG,Early Access,,
Adventure,Free to Play,,,,,
Adventure,Free to Play,Indie,RPG,,,
Action,Adventure,Indie,RPG,Early Access,,
Action,Indie,Early Access,,,,
Action,Adventure,Casual,Free to Play,Indie,,
Free to Play,Massively Multiplayer,RPG,,,,
Action,Free to Play,Massively Multiplayer,RPG,,,
Action,Free to Play,Indie,Massively Multiplayer,Early Access,,
Casual,Indie,,,,,
Adventure,Free to Play,Indie,,,,
Free to Play,Simulation,Strategy,,,,
Action,Free to Play,Indie,,,,
Adventure,Indie,,,,,
Action,RPG,,,,,
RPG,,,,,,
Design & Illustration,Education,Utilities,Early Access,,,
Free to Play,Indie,Strategy,,,,
Action,Casual,Free to Play,Indie,Simulation,Strategy,
Casual,Free to Play,Massively Multiplayer,Simulation,,,
Adventure,Free to Play,Indie,Strategy,,,
Animation & Modeling,Utilities,Video Production,,,,
Adventure,Casual,Indie,RPG,Strategy,,
Casual,,,,,,
Casual,,,,,,
Casual,Free to Play,Simulation,Early Access,,,
Free to Play,Indie,RPG,,,,
Casual,Free to Play,,,,,
Casual,Free to Play,Indie,,,,
RPG,Early Access,,,,,
Indie,,,,,,
RPG,,,,,,
Action,,,,,,
Action,Free to Play,,,,,
Casual,Free to Play,Simulation,,,,
Casual,Free to Play,Massively Multiplayer,Simulation,Strategy,,
Indie,,,,,,
Casual,Free to Play,Indie,Simulation,,,
Adventure,Indie,,,,,
Free to Play,Simulation,,,,,
Free to Play,Indie,Simulation,,,,
Adventure,Casual,Free to Play,Indie,Simulation,,
Action,Indie,,,,,
Indie,,,,,,
Adventure,Free to Play,Indie,RPG,,,
Action,Adventure,Casual,Indie,,,
Casual,Free to Play,Indie,Early Access,,,
Action,Indie,Early Access,,,,
,,,,,,
Casual,Indie,Simulation,,,,
Strategy,,,,,,
Casual,Indie,,,,,
Action,Casual,Free to Play,Indie,RPG,,
Action,Adventure,Indie,,,,
Action,Adventure,Indie,,,,
Casual,Free to Play,Indie,,,,
Action,,,,,,
Adventure,Casual,Free to Play,Indie,,,
Casual,Free to Play,Indie,Strategy,,,
Action,Adventure,Free to Play,RPG,,,
Action,Free to Play,RPG,,,,
Free to Play,Indie,Massively Multiplayer,RPG,Simulation,Strategy,
Adventure,RPG,Strategy,,,,
Adventure,Casual,Indie,,,,
Adventure,Free to Play,Indie,RPG,,,
Free to Play,Indie,,,,,
Action,Casual,Indie,,,,
Adventure,Casual,Indie,Strategy,Early Access,,
Adventure,Free to Play,Massively Multiplayer,Simulation,Early Access,,
Indie,Strategy,,,,,
Action,Adventure,Free to Play,Indie,RPG,,
Adventure,Free to Play,RPG,Strategy,,,
Action,Adventure,Casual,Free to Play,Indie,Massively Multiplayer,RPG
Simulation,Strategy,,,,,
Free to Play,Simulation,Strategy,,,,
Casual,Free to Play,Indie,,,,
Casual,Free to Play,,,,,
Action,Free to Play,Indie,,,,
Adventure,Casual,Indie,Strategy,,,
Action,Free to Play,Indie,Massively Multiplayer,RPG,,
Action,Adventure,Indie,RPG,Simulation,,
Action,RPG,Early Access,,,,
Casual,Indie,,,,,
Action,Adventure,Casual,Indie,,,
Indie,,,,,,
Action,Adventure,Indie,,,,
Indie,,,,,,
Adventure,Free to Play,Indie,RPG,,,
Free to Play,,,,,,
Action,Adventure,Casual,Indie,Massively Multiplayer,RPG,Early Access
Casual,Free to Play,Indie,,,,
Adventure,Indie,,,,,
Adventure,Indie,,,,,
Action,Adventure,Free to Play,Indie,,,
Action,Indie,,,,,
Indie,,,,,,
Casual,Strategy,,,,,
Action,,,,,,
Action,,,,,,
Action,Casual,Free to Play,Indie,,,
Adventure,Casual,Indie,Massively Multiplayer,,,
Education,,,,,,
Education,,,,,,
Sports,,,,,,
Action,Free to Play,Indie,Strategy,,,
Indie,Simulation,Sports,Strategy,,,
Casual,,,,,,
Adventure,Indie,RPG,,,,
Action,Free to Play,Massively Multiplayer,,,,
Adventure,,,,,,
Action,Adventure,Free to Play,,,,
Action,Free to Play,Indie,,,,
Action,Casual,Indie,,,,
Action,Free to Play,Indie,,,,
Action,Indie,,,,,
Casual,Simulation,,,,,
Adventure,Simulation,,,,,
Action,Casual,Free to Play,Indie,,,
Action,Free to Play,Indie,,,,
Adventure,,,,,,
Action,Indie,,,,,
Indie,Massively Multiplayer,Simulation,Strategy,Early Access,,
Adventure,Casual,Indie,Early Access,,,
Action,Free to Play,,,,,
Action,Adventure,,,,,
Action,Casual,Sports,,,,
Casual,Indie,,,,,
Free to Play,Indie,,,,,
Adventure,,,,,,
Action,,,,,,
Free to Play,Strategy,,,,,
Indie,Strategy,,,,,
Massively Multiplayer,RPG,Early Access,,,,
Design & Illustration,,,,,,
Action,Free to Play,Simulation,,,,
Free to Play,Massively Multiplayer,RPG,,,,
Free to Play,Massively Multiplayer,RPG,,,,
Action,Free to Play,Indie,,,,
Adventure,,,,,,
Action,Adventure,Simulation,Early Access,,,
Adventure,Casual,Free to Play,Indie,Simulation,,
Action,Indie,,,,,
Action,Indie,,,,,
Indie,Strategy,Early Access,,,,
Action,,,,,,
,,,,,,
Free to Play,Indie,Strategy,,,,
Action,Free to Play,Indie,,,,
Casual,Indie,Strategy,,,,
Action,Free to Play,Strategy,,,,
Action,Free to Play,,,,,
Action,Adventure,Indie,RPG,,,
Adventure,Indie,,,,,
Action,Indie,Early Access,,,,
,,,,,,
Action,Free to Play,Massively Multiplayer,Simulation,,,
Action,Casual,Free to Play,Indie,Massively Multiplayer,RPG,
Action,Free to Play,,,,,
Action,Casual,Indie,Sports,Early Access,,
Action,Adventure,Casual,Indie,,,
Adventure,Casual,Free to Play,Massively Multiplayer,Racing,Simulation,Strategy
Strategy,,,,,,
Simulation,Strategy,,,,,
Action,Casual,Indie,,,,
Free to Play,Indie,Strategy,Early Access,,,
Casual,Indie,Simulation,,,,
Strategy,,,,,,
Free to Play,Indie,RPG,Simulation,,,
Casual,Free to Play,,,,,
Free to Play,Indie,,,,,
Action,Indie,RPG,Early Access,,,
RPG,,,,,,
Action,Adventure,Indie,RPG,,,
Game Development,,,,,,
Action,Free to Play,Massively Multiplayer,Early Access,,,
Action,Adventure,Casual,Indie,Simulation,,
Adventure,Casual,Indie,,,,
Adventure,Simulation,Strategy,,,,
Adventure,,,,,,
Action,Free to Play,Indie,,,,
Action,Indie,RPG,,,,
Indie,Simulation,Strategy,,,,
Action,Adventure,Free to Play,Massively Multiplayer,RPG,Simulation,
Action,Adventure,Free to Play,Massively Multiplayer,RPG,Simulation,
Massively Multiplayer,RPG,,,,,
Action,Casual,Indie,Strategy,,,
Action,Indie,,,,,
Action,Free to Play,Indie,,,,
Casual,Free to Play,Indie,Massively Multiplayer,RPG,Strategy,Early Access
Free to Play,Massively Multiplayer,RPG,,,,
Action,Free to Play,,,,,
Free to Play,Indie,Strategy,,,,
Casual,Free to Play,Indie,Strategy,,,
Adventure,Free to Play,Indie,RPG,,,
Action,Adventure,Free to Play,Indie,,,
Free to Play,,,,,,
Action,Free to Play,Indie,,,,
Action,Indie,,,,,
Action,Adventure,Free to Play,Massively Multiplayer,RPG,,
Action,Adventure,Indie,,,,
Indie,Simulation,Strategy,,,,
Action,Indie,,,,,
Adventure,Casual,Free to Play,Indie,RPG,Simulation,Strategy
RPG,,,,,,
RPG,,,,,,
Action,Adventure,Casual,Free to Play,Massively Multiplayer,RPG,Strategy
Action,Free to Play,Indie,Massively Multiplayer,,,
Free to Play,Strategy,,,,,
Strategy,,,,,,
Action,Adventure,Casual,Free to Play,Indie,,
Free to Play,Indie,Massively Multiplayer,Simulation,,,
Casual,Free to Play,Massively Multiplayer,,,,
Indie,Casual,,,,,
Action,Casual,Indie,,,,
Action,Indie,,,,,
Action,,,,,,
Adventure,Free to Play,Massively Multiplayer,RPG,,,
Audio Production,Utilities,,,,,
Action,Indie,Racing,,,,
Audio Production,Utilities,,,,,
Adventure,Casual,,,,,
Casual,Free to Play,Indie,Simulation,,,
Casual,Free to Play,Early Access,,,,
Adventure,Free to Play,Indie,,,,
Adventure,Casual,Free to Play,Massively Multiplayer,RPG,,
Action,Adventure,Free to Play,Massively Multiplayer,RPG,,
Casual,Indie,,,,,
Free to Play,Indie,RPG,Strategy,,,
Action,Adventure,Free to Play,Indie,,,
Action,Casual,Indie,,,,
Sports,,,,,,
Action,Casual,Free to Play,Indie,Massively Multiplayer,Strategy,Early Access
Adventure,Indie,,,,,
Adventure,,,,,,
Action,Casual,Free to Play,Indie,,,
Action,Free to Play,,,,,
Action,Free to Play,RPG,,,,
Action,Indie,Early Access,,,,
Indie,Strategy,Early Access,,,,
Indie,RPG,Strategy,,,,
Adventure,Free to Play,,,,,
Action,Early Access,,,,,
Free to Play,Massively Multiplayer,Simulation,,,,
Casual,Free to Play,Indie,Racing,,,
RPG,Strategy,,,,,
Animation & Modeling,Education,Web Publishing,Game Development,,,
Adventure,Indie,Early Access,,,,
Casual,Indie,RPG,,,,
Animation & Modeling,Design & Illustration,Utilities,,,,
Action,Free to Play,Indie,Strategy,,,
Adventure,Free to Play,Indie,,,,
Action,Indie,Simulation,,,,
Adventure,Free to Play,Indie,,,,
Action,Adventure,Casual,RPG,Strategy,,
Early Access,,,,,,
Action,Casual,Free to Play,Indie,Racing,Sports,Early Access
Action,Indie,RPG,,,,
Free to Play,Indie,RPG,,,,
Action,Adventure,Indie,Strategy,,,
Action,Indie,RPG,,,,
Adventure,Free to Play,Indie,,,,
Action,Free to Play,Indie,RPG,,,
,,,,,,
Action,Indie,Simulation,Strategy,,,
Indie,Massively Multiplayer,RPG,Strategy,,,
Casual,Free to Play,Indie,,,,
Casual,Free to Play,Indie,Early Access,,,
Indie,,,,,,
Free to Play,Simulation,,,,,
Casual,Simulation,,,,,
Casual,Free to Play,Indie,,,,
Action,Indie,,,,,
Action,Adventure,Casual,Free to Play,Indie,,
Action,Adventure,Casual,,,,
Adventure,,,,,,
Adventure,Free to Play,Indie,RPG,,,
Indie,,,,,,
Free to Play,Indie,Early Access,,,,
Adventure,Indie,,,,,
Action,Adventure,Indie,,,,
Action,Massively Multiplayer,Racing,RPG,Simulation,Early Access,
Adventure,Indie,,,,,
Free to Play,Indie,Simulation,,,,
Indie,Simulation,,,,,
Indie,Simulation,Strategy,Early Access,,,
Action,Casual,Free to Play,Indie,Massively Multiplayer,Simulation,Sports
Casual,Free to Play,Indie,Strategy,,,
Casual,Free to Play,Indie,Early Access,,,
Casual,Free to Play,Indie,,,,
Action,,,,,,
Action,Casual,Free to Play,Indie,,,
Casual,Indie,,,,,
Action,Indie,RPG,Early Access,,,
Action,Adventure,Free to Play,Indie,,,
Casual,Indie,Racing,Sports,Early Access,,
Free to Play,Indie,Massively Multiplayer,Strategy,,,
Casual,Free to Play,Indie,,,,
Action,Adventure,Indie,,,,
Free to Play,Indie,Simulation,Strategy,,,
Adventure,Casual,Indie,Simulation,,,
Animation & Modeling,Design & Illustration,Utilities,Web Publishing,Early Access,,
Casual,Free to Play,Simulation,Early Access,,,
Casual,Indie,Sports,Early Access,,,
Simulation,Sports,,,,,
Indie,Strategy,,,,,
Utilities,Video Production,,,,,
Action,Free to Play,,,,,
Action,Casual,,,,,
Action,Free to Play,Massively Multiplayer,,,,
Action,,,,,,
Action,Casual,Free to Play,,,,
Free to Play,Strategy,,,,,
Free to Play,Early Access,,,,,
Casual,Free to Play,Indie,Strategy,,,
Casual,Free to Play,Indie,Massively Multiplayer,Strategy,,
Action,Indie,,,,,
Action,Free to Play,Indie,Early Access,,,
Free to Play,Simulation,Strategy,,,,
Action,Free to Play,Strategy,,,,
Action,Indie,Massively Multiplayer,Early Access,,,
Action,Adventure,Free to Play,Early Access,,,
Action,Indie,Early Access,,,,
Free to Play,Indie,RPG,Strategy,,,
Action,Indie,RPG,Simulation,Strategy,Early Access,
Action,Free to Play,Indie,Simulation,Strategy,,
Action,Casual,Free to Play,Massively Multiplayer,Simulation,Strategy,
Action,Indie,,,,,
Action,,,,,,
Free to Play,Indie,Strategy,Early Access,,,
Free to Play,Indie,Strategy,Early Access,,,
Action,Free to Play,Indie,,,,
Adventure,Casual,Free to Play,Indie,Massively Multiplayer,Simulation,Strategy
Action,Adventure,Indie,RPG,Early Access,,
Free to Play,Indie,RPG,,,,
Action,Adventure,Indie,RPG,Early Access,,
Indie,Strategy,,,,,
Action,Adventure,Free to Play,Indie,Strategy,,
Action,Free to Play,,,,,
Action,Free to Play,Massively Multiplayer,,,,
Action,Adventure,Free to Play,Indie,Massively Multiplayer,,
Casual,Free to Play,Indie,Strategy,Early Access,,
Free to Play,Massively Multiplayer,Strategy,,,,
Action,Strategy,,,,,
Action,Casual,Free to Play,Indie,Massively Multiplayer,,
Action,Casual,Free to Play,Indie,Massively Multiplayer,,
Action,Casual,Free to Play,Indie,,,
Action,Adventure,Casual,Indie,RPG,Simulation,Strategy
Action,Free to Play,Indie,,,,
Action,Casual,Indie,Early Access,,,
Adventure,Casual,Indie,Simulation,Strategy,Early Access,
Indie,Early Access,,,,,
Adventure,Casual,Free to Play,Indie,RPG,Simulation,
Adventure,Casual,Free to Play,Indie,RPG,Simulation,
Casual,Indie,,,,,
Simulation,,,,,,
Indie,RPG,Early Access,,,,
Casual,Free to Play,Massively Multiplayer,Education,,,
Adventure,Indie,,,,,
Action,Free to Play,Early Access,,,,
Action,Free to Play,,,,,
Indie,Early Access,,,,,
Action,Casual,Free to Play,Indie,,,
Action,Casual,Indie,Racing,,,
Action,Free to Play,Simulation,Sports,,,
Action,Casual,Free to Play,,,,
Casual,Indie,Simulation,Early Access,,,
Casual,Free to Play,Indie,,,,
Education,,,,,,
Action,Indie,,,,,
Adventure,,,,,,
Action,Adventure,Casual,Indie,Strategy,,
Casual,Indie,Simulation,Sports,Strategy,,
Action,Adventure,Indie,,,,
Indie,,,,,,
Adventure,Free to Play,Indie,,,,
Adventure,Indie,,,,,
Sports,,,,,,
Casual,Simulation,,,,,
Casual,Free to Play,Simulation,,,,
Action,Adventure,Free to Play,Indie,,,
Action,Casual,Free to Play,Indie,Strategy,,
Education,,,,,,
Indie,Early Access,,,,,
Indie,Early Access,,,,,
Adventure,Free to Play,Indie,,,,
Adventure,Casual,RPG,Simulation,,,
Adventure,Casual,Free to Play,Indie,,,
Sports,,,,,,
Action,Indie,,,,,
Casual,,,,,,
Action,Casual,Free to Play,Indie,Massively Multiplayer,Early Access,
Adventure,Casual,Indie,Simulation,,,
Action,Adventure,Indie,,,,
Action,Free to Play,Indie,,,,
Action,,,,,,
Adventure,Free to Play,RPG,,,,
Action,Indie,,,,,
Adventure,Indie,,,,,
Casual,Free to Play,Indie,Racing,,,
Action,Adventure,Simulation,,,,
Action,Indie,Massively Multiplayer,RPG,Early Access,,
Adventure,Free to Play,Indie,,,,
Free to Play,Indie,Strategy,,,,
Action,Indie,,,,,
Adventure,Free to Play,Indie,RPG,,,
Adventure,Free to Play,Indie,RPG,,,
Adventure,Casual,Free to Play,Indie,Massively Multiplayer,RPG,Strategy
Casual,Simulation,,,,,
Adventure,Casual,Indie,,,,
Adventure,Casual,Free to Play,Indie,Simulation,,
Action,Free to Play,Indie,,,,
Action,Free to Play,Simulation,,,,
Action,Casual,,,,,
Adventure,Free to Play,,,,,
Casual,Free to Play,,,,,
Casual,Free to Play,Indie,,,,
Free to Play,,,,,,
Action,Adventure,Indie,,,,
Action,Adventure,Indie,,,,
Action,Indie,Simulation,Strategy,,,
Adventure,Casual,Free to Play,Indie,,,
Action,Free to Play,Indie,,,,
Action,Adventure,Free to Play,Indie,RPG,,
Indie,RPG,,,,,
Adventure,Free to Play,Massively Multiplayer,RPG,,,
Action,Casual,Indie,,,,
Casual,Free to Play,Strategy,,,,
Simulation,,,,,,
