appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,languages,genre,tags
5,Dedicated Server,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
7,Steam Client,,,,0,0,0,20000,0,0,0,0,0,0,0,27,,,[]
8,winui2,,,,0,0,0,20000,0,0,0,0,0,0,0,1,,,[]
10,Counter-Strike,Valve,Valve,,194023,4977,0,20000000,10994,89,151,20,999,999,0,13706,"English, French, German, Italian, Spanish - Spain, Simplified Chinese, Traditional Chinese, Korean",Action,"5381,4805,3365,3330,2760,1847,1693,1591,1327,1181,1177,867,753,624,606,296,284,257,222,64"
20,Team Fortress Classic,Valve,Valve,,5456,904,0,10000000,159,0,16,0,499,499,0,96,"English, French, German, Italian, Spanish - Spain, Korean, Russian, Simplified Chinese, Traditional Chinese",Action,"746,307,258,233,213,206,189,182,169,133,106,89,69,62,55,51,45,36,35,35"
30,Day of Defeat,Valve,Valve,,5035,559,0,10000000,199,0,18,0,499,499,0,115,"English, French, German, Italian, Spanish - Spain",Action,"789,250,203,188,160,151,132,125,105,78,65,57,41,37,34,18,16,14,14,13"
40,Deathmatch Classic,Valve,Valve,,1865,415,0,10000000,47,0,11,0,499,499,0,10,"English, French, German, Italian, Spanish - Spain, Korean, Russian, Simplified Chinese, Traditional Chinese",Action,"630,140,108,97,94,70,45,33,33,24,16,14,14,13,12,8"
50,Half-Life: Opposing Force,Gearbox Software,Valve,,13480,676,0,10000000,622,0,209,0,499,499,0,96,"English, French, German, Korean",Action,"882,323,252,249,226,220,187,173,134,114,105,92,74,66,51,38,35,32,29,18"
60,Ricochet,Valve,Valve,,3689,842,0,10000000,25,0,5,0,499,499,0,10,"English, French, German, Italian, Spanish - Spain, Korean, Russian, Simplified Chinese, Traditional Chinese",Action,"585,129,105,89,78,54,52,42,38,31,27,26,25,25,23,23,17,17,11,8"
70,Half-Life,Valve,Valve,,69740,2498,0,10000000,640,77,179,78,999,999,0,516,"English, French, German, Italian, Spanish - Spain, Simplified Chinese, Traditional Chinese, Korean",Action,"22,381,770,176,417,600,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
80,Counter-Strike: Condition Zero,Valve,Valve,,18774,1820,0,10000000,633,0,27,0,999,999,0,437,"English, French, German, Italian, Spanish - Spain, Simplified Chinese, Traditional Chinese, Korean",Action,"1358,1013,748,606,461,396,392,370,314,302,175,175,174,87,70,61,43,43,39,39"
90,Half-Life Dedicated Server,,,,0,0,0,20000,0,0,0,0,0,0,0,11,,,[]
92,Codename Gordon,Nuclear Vision,Valve,,0,0,0,20000,838,30,123,30,0,0,0,33,English,Indie,[]
100,Counter-Strike: Condition Zero,Valve,Valve,,13442,1535,0,20000000,360,0,28,0,999,999,0,45,"English, French, German, Italian, Spanish - Spain, Simplified Chinese, Traditional Chinese, Korean",Action,"1339,979,723,582,435,379,360,355,303,288,173,162,151,87,83,73,56,51,38,38"
130,Half-Life: Blue Shift,Gearbox Software,Valve,,9599,917,0,20000000,305,1,141,1,499,499,0,37,"English, French, German",Action,"459,285,215,194,174,152,141,139,91,89,80,76,69,51,45,23,22,22,19,10"
150,Counter-Strike Beta,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,Action,[]
205,Source Dedicated Server,,,,0,0,0,20000,0,0,0,0,0,0,0,1,,,[]
210,Source Dedicated Server,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
211,Source SDK,,,,0,0,0,20000,324,0,56,0,0,0,0,20,,,[]
215,Source SDK Base 2006,,,,0,0,0,20000,0,0,0,0,0,0,0,4,,,[]
218,Source SDK Base 2007,,,,0,0,0,20000,0,0,0,0,0,0,0,5376,,,[]
219,Half-Life 2: Demo,Valve,Valve,,73753,2522,0,20000,0,0,0,0,0,0,0,8,English,Action,"3,594,240,021,781,970,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
220,Half-Life 2,Valve,Valve,,136456,3606,0,20000000,695,110,408,209,999,999,0,951,"English, French, German, Italian, Korean, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Dutch, Danish, Finnish, Japanese, Norwegian, Polish, Portuguese, Swedish, Thai",Action,"38,802,760,240,721,900,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
240,Counter-Strike: Source,Valve,Valve,,130939,5208,0,20000000,9391,213,393,334,999,999,0,4841,"English, French, German, Italian, Japanese, Korean, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Thai, Turkish",Action,"523,831,403,107,247,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
260,Counter-Strike: Source Beta,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
280,Half-Life: Source,Valve,Valve,,7871,2869,0,5000000,371,0,100,0,999,999,0,43,"English, French, German, Italian, Japanese, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Thai, Korean",Action,"380,285,225,207,192,173,172,144,117,115,113,94,86,81,57,54,52,42,41,15"
300,Day of Defeat: Source,Valve,Valve,,15955,1569,0,1000000,956,0,186,0,999,999,0,463,English,Action,"623,476,341,314,287,235,233,218,172,143,138,129,111,94,62,45,43,32,29,19"
304,Day of Defeat: Source Press Review,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
310,Source 2007 Dedicated Server,,,,0,0,0,20000,0,0,0,0,0,0,0,1,,,[]
320,Half-Life 2: Deathmatch,Valve,Valve,,9395,1023,0,20000000,583,15,39,15,499,499,0,208,English,Action,"865,480,405,258,239,181,176,138,105,93,86,62,47,39,38,30,22,17,9,9"
340,Half-Life 2: Lost Coast,Valve,Valve,,8954,1246,0,50000000,45,0,21,0,0,0,0,14,"English, French, German, Italian, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Korean",Action,"1020,357,304,248,244,220,215,116,111,106,103,90,90,87,82,55,39,38,36,33"
360,Half-Life Deathmatch: Source,Valve,Valve,,2365,779,0,10000000,131,0,52,0,999,999,0,12,English,Action,"241,159,122,95,85,74,70,25,15,11,10,10,8,6"
364,HL1:MP Linux client,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
380,Half-Life 2: Episode One,Valve,Valve,,19263,912,0,5000000,283,0,225,0,799,799,0,166,"English, French, German, Italian, Korean, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Dutch, Danish, Finnish, Japanese, Norwegian, Polish, Portuguese, Swedish, Thai",Action,"719,516,454,393,302,302,291,267,227,218,217,213,163,159,151,149,140,111,92,68"
400,Portal,Valve,Valve,,102415,1634,0,20000000,379,8,162,8,999,999,0,451,"English, French, German, Russian, Danish, Dutch, Finnish, Italian, Japanese, Norwegian, Polish, Portuguese, Simplified Chinese, Spanish - Spain, Swedish, Traditional Chinese, Korean",Action,"39,733,005,235,123,400,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
410,Portal: First Slice,Valve,Valve,,56543,1148,0,20000,0,0,0,0,0,0,0,7,"English, French, German, Russian, Danish, Dutch, Finnish, Italian, Japanese, Korean, Norwegian, Polish, Portuguese, Simplified Chinese, Spanish - Spain, Swedish, Traditional Chinese ",Action,"371,221,491,797,167,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
420,Half-Life 2: Episode Two,Valve,Valve,,27627,889,0,10000000,394,1,325,1,799,799,0,186,"English, French, German, Russian, Danish, Dutch, Finnish, Italian, Japanese, Korean, Norwegian, Polish, Portuguese, Simplified Chinese, Spanish - Spain, Swedish, Traditional Chinese",Action,"899,664,552,488,428,380,373,343,303,283,253,248,234,204,201,184,154,146,130,86"
440,Team Fortress 2,Valve,Valve,,797531,53990,0,100000000,8813,537,367,205,0,0,0,79880,"English, Danish, Dutch, Finnish, French, German, Italian, Japanese, Norwegian, Polish, Portuguese, Russian, Simplified Chinese, Spanish - Spain, Swedish, Traditional Chinese, Korean, Czech, Hungarian, Portuguese - Brazil, Turkish, Greek, Bulgarian, Romanian, Thai, Ukrainian","Action, Free to Play","61,356,605,042,176,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
456,Team Fortress 2 - Summer 2012 Community Bundle DLC,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
457,Team Fortress 2 - Summer 2012 Sale Bundle DLC,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
458,Team Fortress 2 - Summer 2011 DLC,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
459,Team Fortress 2 - Premium DLC,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
480,Spacewar,,,,0,0,0,20000,0,0,0,0,0,0,0,22166,,,[]
500,Left 4 Dead,Valve,Valve,,38237,1545,0,5000000,2193,34,248,35,999,999,0,501,"English, French, German, Spanish - Spain, Russian, Danish, Dutch, Finnish, Italian, Japanese, Norwegian, Polish, Portuguese, Simplified Chinese, Swedish, Traditional Chinese, Korean",Action,"2,039,128,011,191,090,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
510,Left 4 Dead Dedicated Server,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
513,Left 4 Dead Authoring Tools,,,,0,0,0,20000,0,0,0,0,0,0,0,2,,,[]
520,Team Fortress 2 Beta,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
530,Left 4 Dead Demo,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
540,Left 4 Dead Demo Dedicated Server,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
550,Left 4 Dead 2,Valve,Valve,,582702,15407,0,50000000,1855,154,506,97,999,999,0,19015,"English, Danish, Dutch, Finnish, French, German, Italian, Japanese, Korean, Norwegian, Polish, Portuguese, Russian, Simplified Chinese, Spanish - Spain, Swedish, Traditional Chinese, Hungarian, Turkish, Bulgarian, Czech, Greek, Portuguese - Brazil, Romanian, Spanish - Latin America, Thai, Ukrainian, Vietnamese",Action,"2,034,610,671,951,180,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
560,Left 4 Dead 2 Dedicated Server,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
563,Left 4 Dead 2 Authoring Tools,,,,0,0,0,20000,0,0,0,0,0,0,0,35,,,[]
564,Left 4 Dead 2 Add-on Support,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
565,Left 4 Dead 2 Preorder DLC,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
570,Dota 2,Valve,Valve,,1413297,278335,0,200000000,39725,1783,1187,1103,0,0,0,562379,"English, Bulgarian, Czech, Danish, Dutch, Finnish, French, German, Greek, Hungarian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese, Portuguese - Brazil, Romanian, Russian, Simplified Chinese, Spanish - Spain, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Spanish - Latin America, Vietnamese","Action, Free to Play, Strategy","58,284,193,761,459,900,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
575,Dota 2 - English Depot,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
576,Dota 2 - SteelSeries DLC ,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
581,Dota 2 - Murrissey the Smeevil,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
582,Dota 2 - Lockjaw the Boxhound,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
583,Dota 2 - Drodo the Druffin,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
584,Dota 2 - Inflatable Donkey Courier,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
585,Dota 2 - Plush Donkey Courier,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
586,Dota 2 - International Axe,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
590,Left 4 Dead 2 Demo,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
620,Portal 2,Valve,Valve,,284441,3473,0,20000000,1122,85,547,82,199,199,0,2195,"English, French, German, Spanish - Spain, Czech, Danish, Dutch, Finnish, Hungarian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese, Romanian, Russian, Simplified Chinese, Swedish, Thai, Traditional Chinese, Turkish","Action, Adventure","70,866,688,664,466,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
629,Portal 2 Authoring Tools - Beta,,,,0,0,0,20000,0,0,0,0,0,0,0,41,,,[]
630,Alien Swarm,Valve,Valve,,18972,1049,0,5000000,447,0,109,0,0,0,0,59,English,Action,"3,687,759,589,530,450,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
635,Alien Swarm Dedicated Server,,,,0,0,0,20000,0,0,0,0,0,0,0,2,,,[]
640,Alien Swarm - SDK,,,,0,0,0,20000,0,0,0,0,0,0,0,3,,,[]
644,Portal 2 Publishing Tool,,,,0,0,0,20000,0,0,0,0,0,0,0,8,,,[]
650,Portal 2 - Gamestop PS3 DLC,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
651,Portal 2 - Bot Paint Job DLC,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
652,Portal 2 - Bot Roll Cage DLC,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
653,Portal 2 - Bot Antenna Topper DLC,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
654,Portal 2 - Summer 2011 DLC,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
659,Portal 2,Valve,Valve,,153381,2059,0,20000,0,0,0,0,999,999,0,0,"English, French, German, Spanish - Spain, Czech, Danish, Dutch, Finnish, Hungarian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese, Romanian, Russian, Simplified Chinese, Swedish, Thai, Traditional Chinese, Turkish","Action, Adventure","5,953,402,732,752,830,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
660,Portal 2 Sixense MotionPack DLC,Sixense Studios,Sixense Entertainment,,4,0,0,20000,0,0,0,0,0,0,0,0,English,,"8,6"
669,Portal 2 - Sixense Motion Preorder,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
730,Counter-Strike: Global Offensive,"Valve, Hidden Path Entertainment",Valve,,5530501,739849,0,100000000,29339,739,7161,316,0,0,0,786169,"English, Czech, Danish, Dutch, Finnish, French, German, Hungarian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese, Portuguese - Brazil, Romanian, Russian, Simplified Chinese, Spanish - Spain, Swedish, Thai, Traditional Chinese, Turkish, Bulgarian, Ukrainian, Greek, Spanish - Latin America, Vietnamese","Action, Free to Play","873,996,274,059,922,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
730,Counter-Strike: Global Offensive,"Valve, Hidden Path Entertainment",Valve,,5530501,739849,0,100000000,29339,739,7161,316,0,0,0,786169,"English, Czech, Danish, Dutch, Finnish, French, German, Hungarian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese, Portuguese - Brazil, Romanian, Russian, Simplified Chinese, Spanish - Spain, Swedish, Thai, Traditional Chinese, Turkish, Bulgarian, Ukrainian, Greek, Spanish - Latin America, Vietnamese","Action, Free to Play","873,996,274,059,922,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
740,Counter-Strike Global Offensive - Dedicated Server,,,,0,0,0,20000,0,0,0,0,0,0,0,1,,,[]
745,Counter-Strike: Global Offensive - SDK,,,,0,0,0,20000,0,0,0,0,0,0,0,217,,,[]
753,Steam Community Items,,,,0,0,0,20000,0,0,0,0,0,0,0,24776635,,,[]
754,Steam Economy,,,,0,0,0,20000,0,0,0,0,0,0,0,1,,,[]
755,Steam Achievements,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
756,Steam Big Picture,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
760,Steam Screenshots,,,,0,0,0,20000,0,0,0,0,0,0,0,3,,,[]
761,Steam Cloud - Videos,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
764,Steam Cloud - User Logs,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
765,Greenlight,,,,0,0,0,20000,0,0,0,0,0,0,0,1,,,[]
767,Steam Artwork,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
841,Portal 2 Beta,,Valve,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
852,ValveTestApp852,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
854,ValveTestApp854,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
870,Left 4 Dead 2,Valve,Valve,,275509,8993,0,20000,0,0,0,0,999,999,0,0,"Danish, Dutch, English, Finnish, French, German, Italian, Japanese, Korean, Norwegian, Polish, Portuguese, Russian, Simplified Chinese, Spanish - Spain, Swedish, Traditional Chinese, Hungarian, Turkish, Bulgarian, Czech, Greek, Portuguese - Brazil, Romanian, Spanish - Latin America, Thai, Ukrainian, Vietnamese",Action,"194,659,962,894,179,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
900,Zombie Movie,2chums,,,0,0,0,20000,0,0,0,0,0,0,0,0,English,Indie,[]
901,Day of Defeat: Prelude to Victory,,,,11262,1300,0,20000,0,0,0,0,0,0,0,0,,,"593,442,323,300,268,222,217,198,158,127,127,117,100,86,55,39,37,34,27,20"
902,Dangerous Waters Trailer,,,,139,44,0,20000,0,0,0,0,0,0,0,0,,,"37,19,15,5"
903,Darwinia Trailer,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
904,Half-Life 2 Trailer,,,,68523,2426,0,20000,0,0,0,0,0,0,0,0,,,"3,567,238,321,521,950,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
905,Half-Life 2: Episode One Trailer,,,,8586,548,0,20000,0,0,0,0,0,0,0,0,,,"681,456,425,360,273,267,258,238,198,195,191,190,145,137,128,123,118,109,97,79"
906,Rag Doll Kung Fu Trailer,,,,42,17,0,20000,0,0,0,0,0,0,0,0,,,"28,8,5"
907,Red Orchestra Trailer,,,,1634,237,0,20000,0,0,0,0,0,0,0,0,,,"146,121,111,89,80,66,61,59,58,55,41,39,32,27,19,17,12,7"
908,Shadowgrounds Trailer,,,,997,255,0,20000,0,0,0,0,0,0,0,0,,,"103,70,66,48,36,35,31,27,25,25,20,13,12,10,8,7"
909,SiN Episode 1: Emergence Trailer,Ritual Entertainment,,,0,0,0,20000,0,0,0,0,0,0,0,0,English,Action,[]
912,HL2:EP1 Launch Teaser 1,Valve,Valve,,8556,545,0,20000,0,0,0,0,0,0,0,0,English,Action,"681,456,425,360,273,267,258,238,199,195,191,190,145,137,128,123,118,109,97,79"
913,HL2:EP1 Launch Teaser 2,,,,7910,518,0,20000,0,0,0,0,0,0,0,0,,,"434,354,330,264,207,200,191,174,165,164,156,148,122,107,103,100,100,74,68,55"
914,HL2:EP1 Launch Teaser 3,Valve,Valve,,8582,547,0,20000,0,0,0,0,0,0,0,0,English,Action,"681,456,425,360,273,267,258,238,198,195,191,190,145,137,128,123,118,109,97,79"
915,HL2:EP1 Launch Teaser 4,,,,8586,547,0,20000,0,0,0,0,0,0,0,0,,,"681,456,425,360,273,267,258,238,198,195,191,190,145,137,128,123,118,109,97,79"
916,Half-Life 2: Episode Two Trailer,Valve,Valve,,13869,699,0,20000,0,0,0,0,0,0,0,0,English,Action,"536,443,390,318,272,251,247,224,206,202,172,160,144,143,138,115,99,97,86,74"
917,Day of Defeat: Jagd Trailer,,,,11280,1306,0,20000,0,0,0,0,0,0,0,0,,,"594,443,324,301,269,223,218,199,159,128,128,118,101,87,56,40,38,35,28,21"
918,Day of Defeat: Colmar Trailer,,,,11278,1305,0,20000,0,0,0,0,0,0,0,0,,,"594,443,324,301,269,223,218,199,159,128,128,118,101,87,56,40,38,35,28,21"
919,Dark Messiah: Warrior,Arkane Studios,Ubisoft,,4758,352,0,20000,0,0,0,0,0,0,0,0,English,RPG,"445,388,365,318,209,206,201,189,154,123,122,116,114,98,92,84,82,70,67,57"
920,Dark Messiah: Assassin,Arkane Studios,Ubisoft,,4698,342,0,20000,0,0,0,0,0,0,0,0,English,RPG,"444,386,362,316,208,205,200,187,153,122,121,115,111,98,90,82,81,67,66,56"
921,Dark Messiah: Wizard,,,,4750,351,0,20000,0,0,0,0,0,0,0,0,,,"445,388,365,318,209,206,201,189,154,123,122,116,114,98,92,84,82,70,67,57"
922,Portal Trailer,Valve,Valve,,56499,1146,0,20000,0,0,0,0,0,0,0,0,English,Action,"371,221,491,797,167,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
923,Team Fortress 2 Trailer,,,,548981,36084,0,20000,0,0,0,0,0,0,0,0,,,"5,624,717,312,135,710,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
924,Red Orchestra Infantry Tutorial,,,,1634,237,0,20000,0,0,0,0,0,0,0,0,,,"146,121,111,89,80,66,61,59,58,55,41,39,32,27,19,17,12,7"
925,Red Orchestra Vehicle Tutorial,,,,1634,237,0,20000,0,0,0,0,0,0,0,0,,,"146,121,111,89,80,66,61,59,58,55,41,39,32,27,19,17,12,7"
926,Red Orchestra Lyes Krovy Trailer,,,,1634,237,0,20000,0,0,0,0,0,0,0,0,,,"146,121,111,89,80,66,61,59,58,55,41,39,32,27,19,17,12,7"
927,GTI Racing Trailer,Techland,Topware Interactive,,0,0,0,20000,0,0,0,0,0,0,0,0,English,Racing,[]
928,SourceForts Trailer,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
929,Uplink Trailer,,,,1604,152,0,20000,0,0,0,0,0,0,0,0,,,"174,127,114,105,93,51,47,47,40,35,34,31,25,23,21,8,6,5"
930,Half-Life 2: Episode Two Trailer 2,,,,14823,721,0,20000,0,0,0,0,0,0,0,0,,,"849,566,508,443,388,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
931,Team Fortress 2 Trailer 2,,,,546569,35783,0,20000,0,0,0,0,0,0,0,0,,,"5,618,417,265,135,360,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
932,HL2:EP2 Gameplay Video 1,,,,14793,720,0,20000,0,0,0,0,0,0,0,0,,,"849,566,508,443,388,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
933,HL2:EP2 Gameplay Video 2,,,,13866,696,0,20000,0,0,0,0,0,0,0,0,,,"534,441,388,316,270,249,246,223,204,202,171,159,143,142,137,114,99,96,85,74"
934,HL2:EP2 Gameplay Video 3,,,,14793,720,0,20000,0,0,0,0,0,0,0,0,,,"849,566,508,443,388,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
935,Dark Messiah Gameplay Trailer,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
936,HL2:EP2 Gameplay Video 4,Valve,Valve,,14761,717,0,20000,0,0,0,0,0,0,0,0,English,Action,"849,566,508,443,388,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
937,HL2:EP2 Gameplay Video 5,,,,14822,721,0,20000,0,0,0,0,0,0,0,0,,,"849,566,508,443,388,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
938,City Life Trailer,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
939,X3: Reunion Trailer,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
940,Dark Messiah Launch Trailer,Arkane Studios,Ubisoft,,4773,356,0,20000,0,0,0,0,0,0,0,0,English,RPG,"446,388,365,318,209,207,202,190,155,124,123,117,115,98,93,85,83,70,67,57"
941,Red Orchestra Fall Update Trailer,,,,1634,237,0,20000,0,0,0,0,0,0,0,0,,,"146,121,111,89,80,66,61,59,58,55,41,39,32,27,19,17,12,7"
942,Heroes of Annihilated Empires Trailer,,,,280,45,0,20000,0,0,0,0,0,0,0,0,,,"51,27,20,17,11,6"
943,Prey Trailer,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
944,Left4Dead Teaser,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
945,X3: Reunion 2.0 Trailer,,,,282,113,0,20000,0,0,0,0,0,0,0,0,,,"107,79,70,58,55,54,49,41,31,26,21,19,11,6"
946,Gumboy Trailer,,,,53,47,0,20000,0,0,0,0,0,0,0,0,,,"36,32,11"
947,Eets Trailer,Klei Entertainment,Klei Entertainment,,0,0,0,20000,0,0,0,0,0,0,0,0,,Indie,[]
948,Silverfall Trailer,Monte Cristo,Monte Cristo,,58,38,0,20000,0,0,0,0,0,0,0,0,English,RPG,"34,16,12,7,5,5"
949,Joint Task Force Trailer,Most Wanted Entertainment,HD Publishing,,102,15,0,20000,0,0,0,0,0,0,0,0,,Action,"33,24,12,6"
950,Hitman: Blood Money Trailer,,,,5798,379,0,20000,0,0,0,0,0,0,0,0,,,"354,224,142,139,129,120,78,70,62,62,59,56,45,44,42,41,35,34,30,29"
951,Just Cause Trailer,Avalanche,"SQUARE ENIX, Eidos Interactive",,1743,861,0,20000,0,0,0,0,0,0,0,0,English,Action,"137,127,71,63,57,54,51,38,26,21,18,8,6,6,5"
953,TrackMania United Trailer,,,,1020,57,0,20000,0,0,0,0,0,0,0,0,,,"144,84,75,67,66,44,16,16,9"
954,"Runaway, The Dream of the Turtle Trailer",Pendulo Studios,Focus Home Interactive,,86,65,0,20000,0,0,0,0,0,0,0,0,English,Adventure,"47,36,31,6,6,5"
955,Battlestations: Midway Trailer,,,,334,124,0,20000,0,0,0,0,0,0,0,0,,,"49,41,32,27,22,19,18,17,11,5"
956,Project: Snowblind Trailer,,,,197,68,0,20000,0,0,0,0,0,0,0,0,,,"37,23,19,12,10"
957,Tomb Raider: Legend Trailer,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
958,Infernal Trailer,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
959,Infernal Trailer 1,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
960,Team Fortress 2: Meet the Heavy,,,,546440,35778,0,20000,0,0,0,0,0,0,0,0,,,"5,618,117,262,135,350,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"
961,Red Orchestra June '07 Update Trailer,Tripwire Interactive,Tripwire Interactive,,1583,229,0,20000,0,0,0,0,0,0,0,0,English,Action,"146,120,110,89,78,65,61,58,57,54,40,38,31,26,18,16,11,6"
962,Tomb Raider: Anniversary Trailer,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
963,TrackMania United Webisode 1,,,,970,56,0,20000,0,0,0,0,0,0,0,0,,,"143,83,74,67,65,43,15,15,9"
964,TrackMania United Webisode 2,Nadeo,Ubisoft,,956,55,0,20000,0,0,0,0,0,0,0,0,,Racing,"131,76,67,60,59,36,8,5"
965,TrackMania United Webisode 3,,,,1023,56,0,20000,0,0,0,0,0,0,0,0,,,"144,84,75,67,66,44,16,16,9"
966,TrackMania United Webisode 4,Nadeo,Ubisoft,,970,56,0,20000,0,0,0,0,0,0,0,0,English,Racing,"143,83,74,67,65,43,15,15,9"
967,TrackMania United Webisode 5,Nadeo,Ubisoft,,1018,58,0,20000,0,0,0,0,0,0,0,0,English,Racing,"144,84,75,67,66,44,16,16,9"
968,Sam & Max: Season 1 Trailer,Telltale Games,Telltale Games,,350,50,0,20000,0,0,0,0,0,0,0,0,English,"Action, Adventure","37,36,22,8,8,8,6,6,6,6"
969,Sam & Max 102: Situation: Comedy Trailer,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
