appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,languages,genre,tags
48803,Ship Simulator Extremes: Ferry Pack,VStep,Paradox Interactive,,21,6,0,20000,0,0,0,0,399,399,0,0,"English, German, Spanish - Spain",Simulation,23
48804,Ship Simulator Extremes: Cargo Vessel,VStep,Paradox Interactive,,4,2,0,20000,0,0,0,0,399,399,0,0,"English, German, Spanish - Spain",Simulation,24
48805,Ship Simulator Extremes: Offshore Vessel,VStep,Paradox Interactive,,4,3,0,20000,0,0,0,0,399,399,0,0,"English, German, Spanish - Spain",Simulation,23
48806,Ship Simulator Extremes: Ocean Cruise Ship,VStep,Paradox Interactive,,22,5,0,20000,0,0,0,0,399,399,0,0,"English, German, Spanish - Spain",Simulation,25
48810,Ship Simulator Extremes - Demo,VStep,Paradox Interactive,,698,842,0,20000,0,0,0,0,0,0,0,1,"English, German, Spanish - Spain",Simulation,"108,39,25,19,17,14,10"
48830,Ship Sim Extremes Harbor Pilot DLC,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
48900,Saira,Nicklas Nygren,Kreatoriet AB,,233,62,0,20000,24,0,24,0,0,0,0,0,English,Indie,"61,38,34,31,28,28,21,19,18,16,6"
48950,Greed Corp,Vanguard Games,Vanguard Entertainment Group,,442,71,0,500000,219,0,279,0,999,999,0,3,"English, French, German, Spanish - Spain",Strategy,"80,57,31,25,25,22,19,15,9"
49000,Hotel Dash Suite Success,PlayFirst,PlayFirst,,45,14,0,20000,0,0,0,0,699,699,0,0,English,Casual,"9,6"
49300,Commander: Conquest of the Americas,Nitro Games,Nitro Games,,76,83,0,100000,524,0,524,0,999,999,0,3,"English, French, German, Spanish - Spain",Strategy,"42,25,19,5"
49310,Commander: Conquest of the Americas - Colonial Navy,Nitro Games,Nitro Games,,3,0,0,20000,0,0,0,0,499,499,0,0,"English, French, German",Strategy,22
49311,Commander: Conquest of the Americas - Pirate Treasure Chest,Nitro Games,Nitro Games ,,4,0,0,20000,0,0,0,0,499,499,0,0,"English, French, German",Strategy,22
49312,Commander Conquest of the Americas - DLC3,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
49313,Commander Conquest of the Americas - DLC4,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
49314,Commander Conquest of the Americas - DLC5,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
49315,Commander Conquest of the Americas - DLC6,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
49320,Woody Two-Legs: Attack of the Zombie Pirates,Nitro Games,Nitro Games,,33,27,0,50000,3,0,3,0,499,499,0,0,"English, French, German",Casual,"25,6"
49330,Pirates of Black Cove,Nitro Games,,,99,51,0,100000,605,0,605,0,999,999,0,0,"English, German",Strategy,"45,41,7,7,6"
49337,Pirates of Black Cove: Origins,Nitro Games,Paradox Interactive,,0,2,0,20000,0,0,0,0,499,499,0,0,"English, German",Strategy,21
49340,Pirates of Black Cove Demo,Nitro Games,Paradox Interactive,,79,50,0,20000,0,0,0,0,0,0,0,1,,,"44,42,7,7,6"
49400,Magic: The Gathering - Duels of the Planeswalkers,,,,0,0,0,20000,880,0,1069,0,0,0,0,3,,,[]
49402,Magic the Gathering: Duels of the Planeswalkers: Expansion One,Stainless Games Ltd,Wizards of the Coast LLC,,0,0,0,20000,0,0,0,0,0,0,0,0,"English, French, German, Italian, Spanish",Strategy,[]
49403,Duels of the Planeswalkers - Expansion Two,Stainless Games Ltd,Wizards of the Coast LLC,,0,0,0,20000,0,0,0,0,0,0,0,0,"English, French, German, Italian, Spanish",Strategy,[]
49404,Duels of the Planeswalkers - Expansion Three,Stainless Games Ltd,Wizards of the Coast LLC,,0,0,0,20000,0,0,0,0,0,0,0,0,"English, French, German, Italian, Spanish",Strategy,[]
49406,Magic: The Gathering - Duels of the Planeswalkers Persona Pack,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
49407,Magic: The Gathering - Duels of the Planeswalkers Frontend Skins Pack 1,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
49408,Magic: The Gathering - Duels of the Planeswalkers In Duel Playfields Pack 1,,,,0,0,0,20000,0,0,0,0,0,0,0,0,,,[]
49409,Duels of the Planeswalkers Gold Deck Bundle,Stainless Games Ltd,Wizards of the Coast LLC,,0,0,0,20000,0,0,0,0,0,0,0,0,"English, French, German, Italian, Spanish - Spain",Strategy,[]
49410,Hands of Flame Deck Unlock,Stainless Games Ltd,Wizards of the Coast LLC,,0,0,0,20000,0,0,0,0,0,0,0,0,"English, French, German, Italian, Spanish",Strategy,[]
49411,Wings of Light Deck Unlock,Stainless Games Ltd,Wizards of the Coast LLC,,0,0,0,20000,0,0,0,0,0,0,0,0,"English, French, German, Italian, Spanish",Strategy,[]
49412,Eyes of Shadow Deck Unlock,Stainless Games Ltd,Wizards of the Coast LLC,,0,0,0,20000,0,0,0,0,0,0,0,0,"English, French, German, Italian, Spanish",Strategy,[]
49413,Ears of the Elves Deck Unlock,Stainless Games Ltd,Wizards of the Coast LLC,,0,0,0,20000,0,0,0,0,0,0,0,0,"English, French, German, Italian, Spanish",Strategy,[]
49414,Claws of Vengeance Deck Unlock,Stainless Games Ltd,Wizards of the Coast LLC,,0,0,0,20000,0,0,0,0,0,0,0,0,English,Strategy,[]
49415,Scales of Fury Deck Unlock,Stainless Games Ltd,Wizards of the Coast LLC,,0,0,0,20000,0,0,0,0,0,0,0,0,"English, French, German, Italian, Spanish - Spain",Strategy,[]
49416,Thoughts of Wind Deck Unlock,Stainless Games Ltd,Wizards of the Coast LLC,,0,0,0,20000,0,0,0,0,0,0,0,0,"English, French, German, Italian, Spanish - Spain",Strategy,[]
49417,Mind of Void Deck Unlock,Stainless Games Ltd,Wizards of the Coast LLC,,0,0,0,20000,0,0,0,0,0,0,0,0,"English, French, German, Italian, Spanish - Spain",Strategy,[]
49418,Cries of Rage Deck Unlock,Stainless Games Ltd,Wizards of the Coast LLC,,0,0,0,20000,0,0,0,0,0,0,0,0,"English, French, German, Italian, Spanish - Spain",Strategy,[]
49419,Relics of Doom Deck Unlock,Stainless Games Ltd,Wizards of the Coast LLC,,0,0,0,20000,0,0,0,0,0,0,0,0,"English, French, German, Italian, Spanish - Spain",Strategy,[]
49421,Heat of Battle Deck Unlock,Stainless Games Ltd,Wizards of the Coast LLC,,0,0,0,20000,0,0,0,0,0,0,0,0,"English, French, German, Italian, Spanish",Strategy,[]
